Document samples/pg2701.txt
weeping 3 0.528274
hamlet 1 0.477121
wallen 1 0.477121
affords 2 0.352183
looker 1 0.477121
mealtimes 1 0.477121
walw 1 0.477121
conquering 1 0.176091
tish 1 0.477121
brain 37 17.6535
justinian 2 0.954243
bone 51 8.98065
wetter 1 0.477121
oders 1 0.477121
ian 1 0.477121
flying 30 5.28274
ruined 1 0.477121
mounts 4 1.90849
cetus 3 1.43136
end 102 0
momentary 2 0.954243
follow 21 0
unfitted 1 0.477121
oaken 5 2.38561
benignity 1 0.477121
river 7 3.33985
dived 11 5.24833
uncleanliness 1 0.477121
industry 3 1.43136
thinness 1 0.477121
junior 2 0.954243
unconquerable 4 1.90849
very 323 0
rinaldini 1 0.477121
poniard 1 0.477121
boundless 6 1.05655
officered 1 0.477121
depose 1 0.477121
ill 19 3.34573
unreasoning 3 1.43136
sympathy 2 0.352183
poor 114 20.0744
borders 2 0.352183
stifling 1 0.477121
draught 5 2.38561
supplemental 2 0.954243
helpless 4 0.704365
attention 9 4.29409
painstaking 1 0.477121
oftentimes 6 2.86273
rose 36 6.33929
gratitude 1 0.176091
tales 6 2.86273
habitatory 1 0.477121
touched 13 2.28919
outyell 1 0.477121
mutter 3 0.528274
come 180 0
dashing 8 1.40873
reigned 6 2.86273
recorded 4 1.90849
insignificant 3 1.43136
delight 19 3.34573
expanse 3 1.43136
sir 175 83.4962
alteration 1 0
called 116 20.4266
instance 18 3.16964
oar 28 13.3594
direful 10 1.76091
clappings 1 0.477121
whatever 46 8.1002
nest 11 0
formidable 2 0.352183
cruel 8 1.40873
richard 2 0.954243
inextricable 1 0.477121
hopeless 8 1.40873
glim 1 0.477121
thorns 2 0.954243
american 34 5.9871
shipkeepers 1 0.477121
endless 15 2.64137
glimmering 1 0.477121
crazed 4 1.90849
grey 19 9.0653
dropping 18 8.58818
profane 5 2.38561
cards 4 1.90849
difficulties 2 0.954243
busts 1 0.477121
solicitude 2 0.954243
aloft 63 11.0937
inspire 2 0.954243
criterion 1 0.477121
ahead 27 4.75446
image 11 1.937
desiring 1 0.477121
picturesque 2 0.954243
dismembering 1 0.477121
cambrics 1 0.477121
obstinately 1 0.477121
piggledy 1 0.477121
unwieldy 1 0.477121
irreverence 1 0.477121
flinty 1 0.477121
swing 6 1.05655
entitled 10 1.76091
compilations 1 0.477121
leaving 38 6.69147
whalin 1 0.477121
evolution 1 0.477121
vum 1 0.477121
gasps 2 0.352183
respectable 3 1.43136
boisterous 3 1.43136
furthest 5 2.38561
ballena 1 0.477121
valuable 11 1.937
byward 1 0.477121
hie 1 0
unwarrantably 2 0.954243
forced 19 3.34573
discreet 1 0.477121
unspeckled 1 0.477121
helmsman 11 5.24833
palm 5 2.38561
fresh 32 5.63492
fourteen 1 0.176091
forswears 1 0.477121
paced 9 4.29409
friendliness 1 0.477121
commands 3 0.528274
settling 3 1.43136
chace 5 2.38561
suicide 1 0.477121
withdrew 3 1.43136
some 619 0
unto 2 0.352183
surprising 7 1.23264
assure 5 2.38561
extorting 1 0.477121
flashings 1 0.477121
cannot 73 0
lone 8 1.40873
montaigne 1 0.477121
unerringly 3 1.43136
emblazonings 2 0.954243
tragically 1 0.477121
comets 1 0.477121
bullocks 1 0.477121
observance 1 0.477121
journal 1 0.477121
overstocked 1 0.477121
wine 12 2.1131
antique 5 2.38561
struck 49 8.62847
thunder 32 15.2679
oftenest 1 0.477121
bequeathed 1 0.477121
embellished 3 0.528274
rounder 1 0.477121
cooks 2 0.954243
